 Value of m    Value of n  Wavelength in Å
        34         3       8270.590
        34         4      14793.556
        34         5      23298.869
        34         6      33879.883
        34         7      46655.824
        34         8      61775.281
        34         9      79420.742
        34        10      99814.469
        34        11     123226.031
        34        12     149982.094
        34        13     180479.125
        34        14     215200.000
        34        15     254735.953
        34        16     299816.062
        34        17     351346.938
        34        18     410467.812
        34        19     478627.375
        34        20     557693.562
        34        21     650114.688
        34        22     759160.438
        34        23     889294.438
        34        24    1046771.562
        34        25    1240631.875
        34        26    1484440.750
        34        27    1799521.750
        34        28    2221419.500
        34        29    2814122.000
        34        30    3705612.250
        34        31    5194528.500
        34        32    8176803.000
        34        33   17132106.000
        35         1        912.545
        35         2       3659.148
        35         3       8266.937
        35         4      14781.869
        35         5      23269.896
        35         6      33818.652
        35         7      46539.793
        35         8      61572.023
        35         9      79085.102
        35        10      99284.891
        35        11     122419.891
        35        12     148789.562
        35        13     178755.109
        35        14     212753.344
        35        15     251314.875
        35        16     295088.219
        35        17     344871.781
        35        18     401657.500
        35        19     466690.719
        35        20     541553.938
        35        21     628287.188
        35        22     729563.125
        35        23     848950.000
        35        24     991319.062
        35        25    1163494.875
        35        26    1375339.750
        35        27    1641653.625
        35        28    1985697.875
        35        29    2446247.750
        35        30    3093105.750
        35        31    4065884.500
        35        32    5690357.500
        35        33    8943853.000
        35        34   18713032.000
        36         1        912.504
        36         2       3658.492
        36         3       8263.586
        36         4      14771.160
        36         5      23243.367
        36         6      33762.648
        36         7      46433.797
        36         8      61386.637
        36         9      78779.516
        36        10      98803.742
        36        11     121689.219
        36        12     147711.594
        36        13     177201.484
        36        14     210556.172
        36        15     248254.781
        36        16     290878.219
        36        17     339135.250
        36        18     393897.594
        36        19     456247.188
        36        20     527541.438
        36        21     609504.688
        36        22     704358.812
        36        23     815013.625
        36        24     945354.250
        36        25    1100682.625
        36        26    1288426.250
        36        27    1519319.375
        36        28    1809467.250
        36        29    2184184.000
        36        30    2685665.250
        36        31    3389870.250
        36        32    4448726.000
        36        33    6216732.000
        36        34    9757404.000
        36        35   20388364.000
        37         1        912.466
        37         2       3657.888
        37         3       8260.506
        37         4      14761.320
        37         5      23219.014
        37         6      33711.289
        37         7      46336.711
        37         8      61217.066
        37         9      78500.461
        37        10      98365.188
        37        11     121024.648
        37        12     146733.547
        37        13     175795.797
        37        14     208574.438
        37        15     245504.531
        37        16     287109.688
        37        17     334023.562
        37        18     387018.531
        37        19     447043.438
        37        20     515275.250
        37        21     593189.750
        37        22     682661.125
        37        23     786102.938
        37        24     906676.375
        37        25    1048600.750
        37        26    1217633.250
        37        27    1421839.625
        37        28    1672874.125
        37        29    1988223.250
        37        30    2395370.500
        37        31    2940128.000
        37        32    3704963.500
        37        33    4854818.000
        37        34    6774562.500
        37        35   10618833.000
